ID,Response,n_study,n_obs,boot_mean,boot_CI1,boot_CI2,All,pch,col,Notes
1,Yield,114,1539,5.518012941,3.11568184,8.207317205,All data,15,brown,V
2,Biomass,25,272,9.958133075,5.393969836,14.27423687,All data,15,brown,V
3,,,,,,,,,brown,
4,Leaching,19,267,-61.7105803,-68.42631646,-53.6466775,All data,15,orange,IV
5,Runoff,7,120,-73.28546355,-78.9454535,-67.15293185,All data,15,orange,IV
6,Erosion,8,83,-75.58426946,-82.05755593,-66.99126895,All data,15,orange,IV
7,SWC,28,452,0.887452011,-1.432571929,2.988101472,All data,15,orange,IV
8,ST,7,45,-5.791913137,-7.945295506,-2.943531374,All data,15,orange,IV
9,N2O,8,30,42.21042483,14.10139666,72.54123004,All data,15,orange,IV
10,CH4,5,25,96.29176597,65.1975459,141.9661848,All data,15,orange,IV
11,CO2,15,43,37.28746042,20.5597723,57.05338884,All data,15,orange,IV
12,,,,,,,,,orange,
13,MBN,19,183,26.28414094,20.08037082,33.46135583,All data,15,black,III
14,MBC,37,317,26.3671661,21.28828839,32.18302233,All data,15,black,III
15,CO2BTest,11,106,11.25517935,3.678067108,19.38203009,All data,15,black,III
16,SIR,2,17,-17.46400785,-22.27515904,-11.83001062,All data,15,black,III
17,Nmin,32,288,20.4202965,13.96881754,27.14801178,All data,15,black,III
18,Cmin,19,120,14.28126663,9.739810055,19.11223912,All data,15,black,III
19,Enzyme,17,166,14.77038606,10.40738618,19.54077896,All data,15,black,III
20,O-Microbial,18,174,20.25830647,15.20639928,26.09575007,All data,15,black,III
21,Fungal,9,96,46.82110727,35.26572408,60.87561783,All data,15,black,III
22,SoilFauna,10,54,36.62497343,14.82412481,63.7055284,All data,15,black,III
23,Pests,4,57,0.356088829,-18.59916043,22.30867609,All data,15,black,III
24,Diseases,3,20,-28.72986531,-42.19077584,-16.5566166,All data,15,black,III
25,Weed,15,281,-44.83940761,-54.76703436,-33.23213002,All data,15,black,III
26,,,,,,,,,black,
27,BS,3,10,-4.133544662,-11.23398587,4.022720067,All data,15,red,II
28,EC,10,51,7.127675394,-5.276139922,22.78610192,All data,15,red,II
29,CEC,21,83,8.79649191,4.114626002,13.57962827,All data,15,red,II
30,pH,49,251,0.999087886,0.252582589,1.847643814,All data,15,red,II
31,K,32,181,0.860562314,-4.219797398,6.358651012,All data,15,red,II
32,P,47,331,3.380418187,-2.690735456,10.02038487,All data,15,red,II
33,N,93,1249,-1.455090332,-4.281446649,1.256952659,All data,15,red,II
34,SOC,131,1195,8.767772932,7.715753105,9.864935817,All data,15,red,II
35,,,,,,,,,red,
36,AWHC,13,75,-9.330597107,-13.71742164,-4.413151837,All data,15,blue,I
37,Ksat,9,58,131.0881119,67.89026331,221.9404557,All data,15,blue,I
38,Infiltration,10,42,71.42002759,43.32205552,110.8675436,All data,15,blue,I
39,Penetration,10,156,5.553080445,1.999744639,9.514715823,All data,15,blue,I
40,Porosity,14,85,10.01249659,1.643301091,21.53423316,All data,15,blue,I
41,Aggre,31,262,13.05204501,9.160309768,17.40525189,All data,15,blue,I
42,BD,67,699,-1.121850033,-1.528712329,-0.741809171,All data,15,blue,I
