ID,Response,obs,Mean,Low,High,p_UB_Anova,SubGroup,TopGroup
1,BiomassCash_C,272,0.095597584,0.053541106,0.136735279,NA,All data,All data
2,Yield_C,1539,0.053834766,0.029284859,0.078808585,NA,All data,All data
3,BD_C,700,-0.01126389,-0.015154746,-0.007397315,NA,All data,All data
4,OC_C,1195,0.08399107,0.074402704,0.094000042,NA,All data,All data
5,N_C,1249,-0.015995987,-0.043468009,0.012422746,NA,All data,All data
6,P_C,331,0.034015257,-0.026527513,0.095137363,NA,All data,All data
7,K_C,181,0.010390598,-0.042392641,0.062977903,NA,All data,All data
8,pH_C,251,0.010517173,0.002515518,0.018353944,NA,All data,All data
9,CEC_C,83,0.085667834,0.042367704,0.128060076,NA,All data,All data
10,EC_C,51,0.07723176,-0.059207617,0.208181602,NA,All data,All data
11,BS_C,10,-0.038741646,-0.116434082,0.037061314,NA,All data,All data
12,Aggre_C,262,0.125957985,0.088841275,0.16176187,NA,All data,All data
13,Porosity_C,85,0.102656801,0.012708617,0.196779228,NA,All data,All data
14,Penetration_C,156,0.057833213,0.020873173,0.094015263,NA,All data,All data
15,Infiltration_C,42,0.556225656,0.361640364,0.743412926,NA,All data,All data
16,Ksat_C,58,0.846646088,0.51160125,1.192669637,NA,All data,All data
17,Erosion_C,86,-1.392984185,-1.702104582,-1.092193322,NA,All data,All data
18,Runoff_C,122,-1.323919166,-1.550998436,-1.097737176,NA,All data,All data
19,Leaching_C,267,-0.96354995,-1.148125554,-0.77621947,NA,All data,All data
20,ST_C,45,-0.056769042,-0.083405897,-0.030302122,NA,All data,All data
21,SWC_C,452,0.008044804,-0.013093479,0.028955355,NA,All data,All data
22,AWHC_C,75,-0.097984531,-0.149069698,-0.049313732,NA,All data,All data
23,Weed_C,281,-0.598649821,-0.785356019,-0.411170053,NA,All data,All data
24,Diseases_C,20,-0.365943983,-0.549352005,-0.178172006,NA,All data,All data
25,Pests_C,57,0.002488077,-0.195366701,0.200087893,NA,All data,All data
26,SoilFauna_C,54,0.31795491,0.141699558,0.494908593,NA,All data,All data
27,Fungal_C,96,0.388001388,0.300514932,0.480363534,NA,All data,All data
28,OtherMicrobial_C,174,0.186337217,0.14298031,0.230662882,NA,All data,All data
29,Enzyme_C,166,0.137724563,0.096320948,0.176765154,NA,All data,All data
30,Cmina_C,120,0.134370685,0.095070087,0.174180012,NA,All data,All data
31,Nmina_C,288,0.184994469,0.132262013,0.236590923,NA,All data,All data
32,NxO_C,30,0.334484747,0.125448336,0.540948228,NA,All data,All data
33,SIR_C,17,-0.191261612,-0.253363381,-0.12913296,NA,All data,All data
34,CO2BTest_C,106,0.103579004,0.033567052,0.175775828,NA,All data,All data
35,CO2_C,43,0.317623297,0.180279739,0.456036101,NA,All data,All data
36,CH4_C,25,0.692637449,0.50641594,0.876922871,NA,All data,All data
37,MBC_C,317,0.235151002,0.1936064,0.279647089,NA,All data,All data
38,MBN_C,183,0.233519735,0.18488612,0.282890206,NA,All data,All data
1,BiomassCash_C,100,0.235860091,0.1493033,0.323824357,0,Tropical,Climate
1,BiomassCash_C,10,-0.162730877,-0.532795829,0.181857043,0,Arid,Climate
1,BiomassCash_C,106,0.007378363,-0.019446232,0.033344118,0,Temperate,Climate
1,BiomassCash_C,56,0.056139617,-0.020808484,0.129719348,0,Boreal,Climate
2,Yield_C,517,0.164699285,0.114488614,0.216716605,0,Tropical,Climate
2,Yield_C,30,-0.290608269,-0.391479223,-0.189559745,0,Arid,Climate
2,Yield_C,686,0.021753765,-0.012331921,0.054977378,0,Temperate,Climate
2,Yield_C,306,-0.030541923,-0.073555745,0.013190288,0,Boreal,Climate
3,BD_C,40,-0.009418148,-0.028599132,0.009055152,0.0124,Tropical,Climate
3,BD_C,33,-0.038125188,-0.064466206,-0.011822195,0.0124,Arid,Climate
3,BD_C,440,-0.011473607,-0.015747484,-0.006973021,0.0124,Temperate,Climate
