Code,1-Yield_C_Mean,2-BD_C_Mean,3-OC_C_Mean,4-N_C_Mean,5-Aggre_C_Mean,6-Infiltration_C_Mean,7-Ksat_C_Mean,8-Erosion_C_Mean,9-Runoff_C_Mean,10-Leaching_C_Mean,11-Weed_C_Mean,12-MBC_C_Mean,13-MBN_C_Mean
Arid_Corn_Grass_Coarse,-25.23699013,-3.739161354,18.71548945,-23.43812052,4.296926893,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,13.15604927,5.012076922
Arid_Corn_Grass_Fine,-25.23699013,-3.739161354,18.71548945,-23.43812052,17.17860179,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,30.23038063,27.90361459
Arid_Corn_Grass_Medium,-25.23699013,-2.937091643,18.67765991,-23.43812052,2.718131703,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,3.126369894,-4.255498862
Arid_Corn_Legume_Coarse,-25.42406456,-3.739161354,27.38209637,-31.26163099,4.296926893,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,16.86518494,-19.51070776
Arid_Corn_Legume_Fine,-25.42406456,-3.739161354,29.88188946,-27.82861511,59.44876112,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,16.86518494,-19.61052682
Arid_Corn_Legume_Medium,-25.42406456,-5.212169033,21.02042754,-34.14545721,-38.25925218,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,16.86518494,-19.51070776
Arid_Corn_MTT_Coarse,-25.23699013,-3.739161354,21.00344122,21.77487975,4.296926893,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,41.7007494,54.01312824
Arid_Corn_MTT_Fine,-25.23699013,-3.739161354,21.00344122,21.77487975,99.59380004,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,41.7007494,54.01312824
Arid_Corn_MTT_Medium,-25.23699013,-4.049024413,21.00344122,21.77487975,-13.32050029,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,41.7007494,54.01312824
Arid_Corn_OtherCC_Coarse,-28.34796465,-3.739161354,-12.1521466,-23.43812052,4.296926893,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,25.17710498,11.40900058
Arid_Corn_OtherCC_Fine,-28.34796465,-3.739161354,-12.1521466,-23.43812052,99.59380004,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,25.17710498,11.40900058
Arid_Corn_OtherCC_Medium,-28.34796465,-4.049024413,-12.1521466,-23.43812052,-13.32050029,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,25.17710498,11.40900058
Arid_CS_Grass_Coarse,-25.23699013,-3.739161354,18.71548945,-23.43812052,4.296926893,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,13.15604927,5.012076922
Arid_CS_Grass_Fine,-25.23699013,-3.739161354,18.71548945,-23.43812052,17.17860179,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,30.23038063,27.90361459
Arid_CS_Grass_Medium,-25.23699013,-2.937091643,18.67765991,-23.43812052,2.718131703,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,3.126369894,-4.255498862
Arid_CS_Legume_Coarse,-25.42406456,-3.739161354,27.38209637,-31.26163099,4.296926893,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,16.86518494,-19.51070776
Arid_CS_Legume_Fine,-25.42406456,-3.739161354,29.88188946,-27.82861511,59.44876112,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,16.86518494,-19.61052682
Arid_CS_Legume_Medium,-25.42406456,-5.212169033,21.02042754,-34.14545721,-38.25925218,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,16.86518494,-19.51070776
Arid_CS_MTT_Coarse,-25.23699013,-3.739161354,21.00344122,21.77487975,4.296926893,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,41.7007494,54.01312824
Arid_CS_MTT_Fine,-25.23699013,-3.739161354,21.00344122,21.77487975,99.59380004,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,41.7007494,54.01312824
Arid_CS_MTT_Medium,-25.23699013,-4.049024413,21.00344122,21.77487975,-13.32050029,74.2893809,4.848620842,-64.79775419,-73.2866181,-61.60922549,-44.88468686,41.7007494,54.01312824
